SIZE:100, AVG, INSERTIONSORT, 4.23e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.78e-05
SIZE:100, AVG, SELECTIONNSORT, 4.69e-05
SIZE:100, BEST, SELECTIONSORT, 4.09e-05
SIZE:100, WORST, SELECTIONNSORT, 4.51e-05
SIZE:100, AVG, QUICKSORT, 0.0005993
SIZE:100, BEST, QUICKSORT, 0.0003585
SIZE:100, WORST, QUICKSORT, 0.0003488
SIZE:100, AVG, BUBBLESORT, 0.0001176
SIZE:100, BEST, BUBBLESORT, 6e-07
SIZE:100, WORST, BUBBLESORT, 0.0001286
SIZE:100, AVG, INSERTIONSORT, 4.05e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.78e-05
SIZE:100, AVG, SELECTIONNSORT, 4.67e-05
SIZE:100, BEST, SELECTIONSORT, 4.09e-05
SIZE:100, WORST, SELECTIONNSORT, 4.47e-05
SIZE:100, AVG, QUICKSORT, 0.0005819
SIZE:100, BEST, QUICKSORT, 0.0003707
SIZE:100, WORST, QUICKSORT, 0.00035
SIZE:100, AVG, BUBBLESORT, 0.0001113
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001297
SIZE:100, AVG, INSERTIONSORT, 3.95e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.79e-05
SIZE:100, AVG, SELECTIONNSORT, 5.18e-05
SIZE:100, BEST, SELECTIONSORT, 4.09e-05
SIZE:100, WORST, SELECTIONNSORT, 4.5e-05
SIZE:100, AVG, QUICKSORT, 0.0005837
SIZE:100, BEST, QUICKSORT, 0.0003613
SIZE:100, WORST, QUICKSORT, 0.0003478
SIZE:100, AVG, BUBBLESORT, 0.0001188
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001297
SIZE:100, AVG, INSERTIONSORT, 4.34e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.77e-05
SIZE:100, AVG, SELECTIONNSORT, 4.64e-05
SIZE:100, BEST, SELECTIONSORT, 4.08e-05
SIZE:100, WORST, SELECTIONNSORT, 5.02e-05
SIZE:100, AVG, QUICKSORT, 0.0005743
SIZE:100, BEST, QUICKSORT, 0.0003495
SIZE:100, WORST, QUICKSORT, 0.0003544
SIZE:100, AVG, BUBBLESORT, 0.0001212
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001299
SIZE:100, AVG, INSERTIONSORT, 4.37e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.79e-05
SIZE:100, AVG, SELECTIONNSORT, 4.76e-05
SIZE:100, BEST, SELECTIONSORT, 4.09e-05
SIZE:100, WORST, SELECTIONNSORT, 4.53e-05
SIZE:100, AVG, QUICKSORT, 0.0006264
SIZE:100, BEST, QUICKSORT, 0.0003822
SIZE:100, WORST, QUICKSORT, 0.0003702
SIZE:100, AVG, BUBBLESORT, 0.0001326
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.00013
SIZE:100, AVG, INSERTIONSORT, 4.2e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.85e-05
SIZE:100, AVG, SELECTIONNSORT, 4.87e-05
SIZE:100, BEST, SELECTIONSORT, 4.18e-05
SIZE:100, WORST, SELECTIONNSORT, 5.91e-05
SIZE:100, AVG, QUICKSORT, 0.0006082
SIZE:100, BEST, QUICKSORT, 0.0003567
SIZE:100, WORST, QUICKSORT, 0.0003602
SIZE:100, AVG, BUBBLESORT, 0.0001213
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001298
SIZE:100, AVG, INSERTIONSORT, 4.26e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.81e-05
SIZE:100, AVG, SELECTIONNSORT, 6.57e-05
SIZE:100, BEST, SELECTIONSORT, 4.27e-05
SIZE:100, WORST, SELECTIONNSORT, 4.64e-05
SIZE:100, AVG, QUICKSORT, 0.0006215
SIZE:100, BEST, QUICKSORT, 0.0003837
SIZE:100, WORST, QUICKSORT, 0.0003688
SIZE:100, AVG, BUBBLESORT, 0.0001168
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001346
SIZE:100, AVG, INSERTIONSORT, 4.35e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 8.24e-05
